group_name,group_description,id
"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,1008
Administrative and Commercial Managers,Business Services and Administration Managers Not Elsewhere Classified,1009
Sales Workers,Shop Sales Assistants,1010
Other Clerical Support Workers,Clerical Support Workers Not Elsewhere Classified,1011
Handicraft and Printing Workers,Pre-press Technicians,1012
Science and Engineering Professionals,Chemists,1013
Science and Engineering Professionals,Geologists and Geophysicists,1014
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,1015
Stationary Plant and Machine Operators,Food and Related Products Machine Operators,1016
Science and Engineering Associate Professionals,"Armed Forces Occupations, Other Ranks",1017
Numerical and Material Recording Clerks,Transport Clerks,1018
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Tailors, Dressmakers, Furriers and Hatters",1019
Teaching Professionals,University and Higher Education Teachers,1020
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,1021
Business and Administration Associate Professionals,Administrative and Executive Secretaries,1022
"Legal, Social and Cultural Professionals","Translators, Interpreters and Other Linguists",1023
Teaching Professionals,Early Childhood Educators,1024
Science and Engineering Professionals,"Biologists, Botanists, Zoologists and Related Professionals",1025
Personal Services Workers,Hairdressers,1026
Sales Workers,Sales Workers Not Elsewhere Classified,1027
Numerical and Material Recording Clerks,Transport Clerks,1028
Building and Related Trades Workers (excluding Electricians),"Stonemasons, Stone Cutters, Splitters and Carvers",1029
Drivers and Mobile Plant Operators,Ships’ Deck Crews and Related Workers,1030
Sales Workers,Shop Sales Assistants,1031
"Legal, Social and Cultural Professionals",Economists,1032
"Legal, Social and Cultural Professionals","Film, Stage and Related Directors and Producers",1033
Business and Administration Associate Professionals,Clearing and Forwarding Agents,1034
Teaching Professionals,Secondary Education Teachers,1035
"Legal, Social and Cultural Professionals",Social Work and Counselling Professionals,1036
"Legal, Social and Cultural Professionals",Authors and Related Writers,1037
"Metal, Machinery and Related Trades Workers",Sheet Metal Workers,1038
Market-oriented Skilled Agricultural Workers,Livestock and Dairy Producers,1039
Science and Engineering Professionals,Chemists,1040
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1041
"Hospitality, Retail and Other Services Managers",Retail and Wholesale Trade Managers,1042
Business and Administration Associate Professionals,Legal Secretaries,1043
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1044
Science and Engineering Professionals,Mechanical Engineers,1045
Protective Services Workers,Police Officers,1046
Drivers and Mobile Plant Operators,Heavy Truck and Lorry Drivers,1047
Science and Engineering Professionals,Physicists and Astronomers,1048
Health Associate Professionals,Medical Imaging and Therapeutic Equipment Technicians,1049
Science and Engineering Professionals,Civil Engineers,1050
Information and Communications Technology Professionals,Applications Programmers,1051
Business and Administration Professionals,Information and Communications Technology Sales Professionals,1052
Stationary Plant and Machine Operators,Metal Processing Plant Operators,1053
Science and Engineering Associate Professionals,Construction Supervisors,1054
Business and Administration Associate Professionals,Office Supervisors,1055
Business and Administration Professionals,Advertising and Marketing Professionals,1056
Personal Services Workers,Building Caretakers,1057
Science and Engineering Professionals,Engineering Professionals Not Elsewhere Classified,1058
Business and Administration Associate Professionals,Trade Brokers,1059
Science and Engineering Professionals,Electrical Engineers,1060
"Legal, Social, Cultural and Related Associate Professionals","Sports Coaches, Instructors and Officials",1061
Personal Services Workers,Travel Attendants and Travel Stewards,1062
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Cabinet-makers and Related Workers,1063
Information and Communications Technicians,Computer Network and Systems Technicians,1064
Teaching Professionals,Vocational Education Teachers,1065
Assemblers,Assemblers Not Elsewhere Classified,1066
Production and Specialized Services Managers,Financial and Insurance Services Branch Managers,1067
Production and Specialized Services Managers,Aquaculture and Fisheries Production Managers,1068
Science and Engineering Professionals,Environmental Protection Professionals,1069
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,1070
Assemblers,Assemblers Not Elsewhere Classified,1071
Teaching Professionals,University and Higher Education Teachers,1072
Stationary Plant and Machine Operators,"Fibre Preparing, Spinning and Winding Machine Operators",1073
Teaching Professionals,Teaching Professionals Not Elsewhere Classified,1074
Business and Administration Professionals,Accountants,1075
Teaching Professionals,Other Language Teachers,1076
Building and Related Trades Workers (excluding Electricians),House Builders,1077
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1078
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,1079
Stationary Plant and Machine Operators,"Packing, Bottling and Labelling Machine Operators",1080
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,1081
Drivers and Mobile Plant Operators,"Railway Brake, Signal and Switch Operators",1082
Teaching Professionals,Education Methods specialists,1083
Business and Administration Associate Professionals,Trade Brokers,1084
